id,name,type,lifecycle,status,description
BC-001,Business Capability 01,BusinessCapability,Active,Active,Synthetic business capability (BC-001).
BC-002,Business Capability 02,BusinessCapability,Active,Active,Synthetic business capability (BC-002).
BC-003,Business Capability 03,BusinessCapability,Active,Active,Synthetic business capability (BC-003).
BC-004,Business Capability 04,BusinessCapability,Active,Active,Synthetic business capability (BC-004).
BC-005,Business Capability 05,BusinessCapability,Active,Active,Synthetic business capability (BC-005).
BC-006,Business Capability 06,BusinessCapability,Active,Active,Synthetic business capability (BC-006).
BC-007,Business Capability 07,BusinessCapability,Active,Active,Synthetic business capability (BC-007).
BC-008,Business Capability 08,BusinessCapability,Active,Active,Synthetic business capability (BC-008).
BC-009,Business Capability 09,BusinessCapability,Active,Active,Synthetic business capability (BC-009).
BC-010,Business Capability 10,BusinessCapability,Active,Active,Synthetic business capability (BC-010).
BC-011,Business Capability 11,BusinessCapability,Active,Active,Synthetic business capability (BC-011).
BC-012,Business Capability 12,BusinessCapability,Active,Active,Synthetic business capability (BC-012).
BC-013,Business Capability 13,BusinessCapability,Active,Active,Synthetic business capability (BC-013).
BC-014,Business Capability 14,BusinessCapability,Active,Active,Synthetic business capability (BC-014).
BC-015,Business Capability 15,BusinessCapability,Active,Active,Synthetic business capability (BC-015).
BC-016,Business Capability 16,BusinessCapability,Active,Active,Synthetic business capability (BC-016).
BC-017,Business Capability 17,BusinessCapability,Active,Active,Synthetic business capability (BC-017).
BC-018,Business Capability 18,BusinessCapability,Active,Active,Synthetic business capability (BC-018).
BC-019,Business Capability 19,BusinessCapability,Active,Active,Synthetic business capability (BC-019).
BC-020,Business Capability 20,BusinessCapability,Active,Active,Synthetic business capability (BC-020).
BC-021,Business Capability 21,BusinessCapability,Active,Active,Synthetic business capability (BC-021).
BC-022,Business Capability 22,BusinessCapability,Active,Active,Synthetic business capability (BC-022).
BC-023,Business Capability 23,BusinessCapability,Active,Active,Synthetic business capability (BC-023).
BC-024,Business Capability 24,BusinessCapability,Active,Active,Synthetic business capability (BC-024).
BC-025,Business Capability 25,BusinessCapability,Active,Active,Synthetic business capability (BC-025).
BC-026,Business Capability 26,BusinessCapability,Active,Active,Synthetic business capability (BC-026).
BC-027,Business Capability 27,BusinessCapability,Active,Active,Synthetic business capability (BC-027).
BC-028,Business Capability 28,BusinessCapability,Active,Active,Synthetic business capability (BC-028).
BC-029,Business Capability 29,BusinessCapability,Active,Active,Synthetic business capability (BC-029).
BC-030,Business Capability 30,BusinessCapability,Active,Active,Synthetic business capability (BC-030).
BC-031,Business Capability 31,BusinessCapability,Active,Active,Synthetic business capability (BC-031).
BC-032,Business Capability 32,BusinessCapability,Active,Active,Synthetic business capability (BC-032).
BC-033,Business Capability 33,BusinessCapability,Active,Active,Synthetic business capability (BC-033).
BC-034,Business Capability 34,BusinessCapability,Active,Active,Synthetic business capability (BC-034).
BC-035,Business Capability 35,BusinessCapability,Active,Active,Synthetic business capability (BC-035).
