id,name,type,lifecycle,status,description
ITC-0001,IT Component 01,ITComponent,PhaseIn,Active,Synthetic IT component for tests (ITC-0001).
ITC-0002,IT Component 02,ITComponent,PhaseOut,Inactive,Synthetic IT component for tests (ITC-0002).
ITC-0003,IT Component 03,ITComponent,PhaseOut,Active,Synthetic IT component for tests (ITC-0003).
ITC-0004,IT Component 04,ITComponent,PhaseIn,Inactive,Synthetic IT component for tests (ITC-0004).
ITC-0005,IT Component 05,ITComponent,EndOfLife,Inactive,Synthetic IT component for tests (ITC-0005).
ITC-0006,IT Component 06,ITComponent,PhaseIn,Active,Synthetic IT component for tests (ITC-0006).
ITC-0007,IT Component 07,ITComponent,PhaseIn,Inactive,Synthetic IT component for tests (ITC-0007).
ITC-0008,IT Component 08,ITComponent,PhaseOut,Planned,Synthetic IT component for tests (ITC-0008).
ITC-0009,IT Component 09,ITComponent,PhaseOut,Planned,Synthetic IT component for tests (ITC-0009).
ITC-0010,IT Component 10,ITComponent,Active,Active,Synthetic IT component for tests (ITC-0010).
ITC-0011,IT Component 11,ITComponent,PhaseIn,Planned,Synthetic IT component for tests (ITC-0011).
ITC-0012,IT Component 12,ITComponent,Active,Inactive,Synthetic IT component for tests (ITC-0012).
ITC-0013,IT Component 13,ITComponent,EndOfLife,Active,Synthetic IT component for tests (ITC-0013).
ITC-0014,IT Component 14,ITComponent,EndOfLife,Inactive,Synthetic IT component for tests (ITC-0014).
ITC-0015,IT Component 15,ITComponent,PhaseIn,Planned,Synthetic IT component for tests (ITC-0015).
ITC-0016,IT Component 16,ITComponent,PhaseOut,Planned,Synthetic IT component for tests (ITC-0016).
ITC-0017,IT Component 17,ITComponent,Active,Active,Synthetic IT component for tests (ITC-0017).
ITC-0018,IT Component 18,ITComponent,Plan,Planned,Synthetic IT component for tests (ITC-0018).
ITC-0019,IT Component 19,ITComponent,EndOfLife,Active,Synthetic IT component for tests (ITC-0019).
ITC-0020,IT Component 20,ITComponent,PhaseOut,Inactive,Synthetic IT component for tests (ITC-0020).
ITC-0021,IT Component 21,ITComponent,EndOfLife,Inactive,Synthetic IT component for tests (ITC-0021).
ITC-0022,IT Component 22,ITComponent,PhaseOut,Inactive,Synthetic IT component for tests (ITC-0022).
ITC-0023,IT Component 23,ITComponent,PhaseIn,Inactive,Synthetic IT component for tests (ITC-0023).
ITC-0024,IT Component 24,ITComponent,PhaseOut,Planned,Synthetic IT component for tests (ITC-0024).
ITC-0025,IT Component 25,ITComponent,PhaseOut,Planned,Synthetic IT component for tests (ITC-0025).
ITC-0026,IT Component 26,ITComponent,PhaseOut,Active,Synthetic IT component for tests (ITC-0026).
ITC-0027,IT Component 27,ITComponent,EndOfLife,Inactive,Synthetic IT component for tests (ITC-0027).
ITC-0028,IT Component 28,ITComponent,PhaseIn,Inactive,Synthetic IT component for tests (ITC-0028).
ITC-0029,IT Component 29,ITComponent,Plan,Inactive,Synthetic IT component for tests (ITC-0029).
ITC-0030,IT Component 30,ITComponent,Plan,Inactive,Synthetic IT component for tests (ITC-0030).
ITC-0031,IT Component 31,ITComponent,Plan,Inactive,Synthetic IT component for tests (ITC-0031).
ITC-0032,IT Component 32,ITComponent,PhaseOut,Planned,Synthetic IT component for tests (ITC-0032).
ITC-0033,IT Component 33,ITComponent,EndOfLife,Inactive,Synthetic IT component for tests (ITC-0033).
ITC-0034,IT Component 34,ITComponent,PhaseIn,Active,Synthetic IT component for tests (ITC-0034).
ITC-0035,IT Component 35,ITComponent,EndOfLife,Planned,Synthetic IT component for tests (ITC-0035).
ITC-0036,IT Component 36,ITComponent,PhaseOut,Active,Synthetic IT component for tests (ITC-0036).
ITC-0037,IT Component 37,ITComponent,PhaseOut,Active,Synthetic IT component for tests (ITC-0037).
ITC-0038,IT Component 38,ITComponent,PhaseIn,Inactive,Synthetic IT component for tests (ITC-0038).
ITC-0039,IT Component 39,ITComponent,Plan,Inactive,Synthetic IT component for tests (ITC-0039).
ITC-0040,IT Component 40,ITComponent,PhaseIn,Inactive,Synthetic IT component for tests (ITC-0040).
