source_id,target_id,relation_type
APP-0001,BC-0001,supports
APP-0001,BC-0004,supports
APP-0001,BC-0021,supports
APP-0002,BC-0004,supports
APP-0003,BC-0027,supports
APP-0003,BC-0028,supports
APP-0004,BC-0012,supports
APP-0004,BC-0031,supports
APP-0005,BC-0032,supports
APP-0006,BC-0005,supports
APP-0006,BC-0012,supports
APP-0006,BC-0013,supports
APP-0007,BC-0006,supports
APP-0007,BC-0013,supports
APP-0008,BC-0011,supports
APP-0008,BC-0027,supports
APP-0008,BC-0034,supports
APP-0009,BC-0006,supports
APP-0010,BC-0033,supports
APP-0011,BC-0028,supports
APP-0012,BC-0028,supports
APP-0013,BC-0007,supports
APP-0013,BC-0020,supports
APP-0013,BC-0035,supports
APP-0014,BC-0004,supports
APP-0014,BC-0019,supports
APP-0014,BC-0021,supports
APP-0015,BC-0021,supports
APP-0015,BC-0024,supports
APP-0015,BC-0032,supports
APP-0016,BC-0024,supports
APP-0017,BC-0007,supports
APP-0017,BC-0014,supports
APP-0017,BC-0022,supports
APP-0018,BC-0002,supports
APP-0018,BC-0004,supports
APP-0018,BC-0026,supports
APP-0019,BC-0003,supports
APP-0019,BC-0026,supports
APP-0019,BC-0034,supports
APP-0020,BC-0001,supports
APP-0020,BC-0003,supports
APP-0021,BC-0006,supports
APP-0021,BC-0028,supports
APP-0021,BC-0030,supports
APP-0022,BC-0029,supports
APP-0022,BC-0034,supports
APP-0023,BC-0006,supports
APP-0023,BC-0014,supports
APP-0023,BC-0033,supports
APP-0024,BC-0003,supports
APP-0024,BC-0024,supports
APP-0025,BC-0010,supports
APP-0026,BC-0015,supports
APP-0027,BC-0009,supports
APP-0027,BC-0011,supports
APP-0027,BC-0027,supports
APP-0028,BC-0017,supports
APP-0029,BC-0022,supports
APP-0029,BC-0031,supports
APP-0030,BC-0024,supports
APP-0031,BC-0011,supports
APP-0031,BC-0014,supports
APP-0031,BC-0031,supports
APP-0032,BC-0006,supports
APP-0032,BC-0035,supports
APP-0033,BC-0017,supports
APP-0033,BC-0018,supports
APP-0033,BC-0031,supports
APP-0034,BC-0007,supports
APP-0035,BC-0010,supports
APP-0036,BC-0003,supports
APP-0036,BC-0010,supports
APP-0036,BC-0011,supports
APP-0037,BC-0001,supports
APP-0037,BC-0004,supports
APP-0037,BC-0016,supports
APP-0038,BC-0008,supports
APP-0038,BC-0020,supports
APP-0039,BC-0005,supports
APP-0040,BC-0028,supports
APP-0040,BC-0033,supports
APP-0040,BC-0034,supports
APP-0041,BC-0006,supports
APP-0041,BC-0025,supports
APP-0041,BC-0026,supports
APP-0042,BC-0012,supports
APP-0043,BC-0014,supports
APP-0043,BC-0024,supports
APP-0043,BC-0034,supports
APP-0044,BC-0004,supports
APP-0044,BC-0007,supports
APP-0044,BC-0016,supports
APP-0045,BC-0019,supports
APP-0045,BC-0021,supports
APP-0046,BC-0003,supports
APP-0046,BC-0019,supports
APP-0047,BC-0021,supports
APP-0047,BC-0027,supports
APP-0048,BC-0006,supports
APP-0048,BC-0035,supports
APP-0049,BC-0003,supports
APP-0049,BC-0018,supports
APP-0049,BC-0035,supports
APP-0050,BC-0004,supports
APP-0050,BC-0009,supports
APP-0051,BC-0022,supports
APP-0051,BC-0032,supports
APP-0052,BC-0025,supports
APP-0053,BC-0002,supports
APP-0053,BC-0005,supports
APP-0053,BC-0029,supports
APP-0054,BC-0013,supports
APP-0054,BC-0025,supports
APP-0054,BC-0035,supports
APP-0055,BC-0014,supports
APP-0055,BC-0020,supports
APP-0055,BC-0034,supports
APP-0056,BC-0027,supports
APP-0056,BC-0029,supports
APP-0057,BC-0009,supports
APP-0057,BC-0025,supports
APP-0057,BC-0026,supports
APP-0058,BC-0005,supports
APP-0058,BC-0012,supports
APP-0058,BC-0025,supports
APP-0059,BC-0009,supports
APP-0059,BC-0022,supports
APP-0060,BC-0018,supports
APP-0060,BC-0034,supports
