source_id,target_id,relation_type
APP-001,ITC-014,uses
APP-001,ITC-034,uses
APP-001,ITC-032,uses
APP-001,ITC-040,uses
APP-002,ITC-037,uses
APP-002,ITC-029,uses
APP-002,ITC-038,uses
APP-002,ITC-009,uses
APP-002,ITC-026,uses
APP-003,ITC-025,uses
APP-003,ITC-012,uses
APP-003,ITC-005,uses
APP-003,ITC-017,uses
APP-003,ITC-022,uses
APP-004,ITC-017,uses
APP-004,ITC-037,uses
APP-004,ITC-018,uses
APP-005,ITC-007,uses
APP-005,ITC-040,uses
APP-005,ITC-012,uses
APP-005,ITC-009,uses
APP-006,ITC-027,uses
APP-006,ITC-009,uses
APP-006,ITC-033,uses
APP-006,ITC-008,uses
APP-007,ITC-033,uses
APP-007,ITC-025,uses
APP-007,ITC-023,uses
APP-008,ITC-036,uses
APP-008,ITC-002,uses
APP-008,ITC-020,uses
APP-008,ITC-006,uses
APP-008,ITC-025,uses
APP-009,ITC-040,uses
APP-009,ITC-033,uses
APP-009,ITC-030,uses
APP-009,ITC-002,uses
APP-009,ITC-007,uses
APP-010,ITC-037,uses
APP-010,ITC-016,uses
APP-011,ITC-015,uses
APP-011,ITC-005,uses
APP-011,ITC-002,uses
APP-012,ITC-040,uses
APP-012,ITC-003,uses
APP-013,ITC-037,uses
APP-013,ITC-021,uses
APP-014,ITC-040,uses
APP-014,ITC-022,uses
APP-014,ITC-016,uses
APP-015,ITC-039,uses
APP-015,ITC-020,uses
APP-015,ITC-022,uses
APP-015,ITC-040,uses
APP-016,ITC-022,uses
APP-016,ITC-012,uses
APP-016,ITC-003,uses
APP-016,ITC-035,uses
APP-016,ITC-040,uses
APP-017,ITC-007,uses
APP-017,ITC-028,uses
APP-017,ITC-026,uses
APP-017,ITC-015,uses
APP-017,ITC-029,uses
APP-018,ITC-015,uses
APP-018,ITC-001,uses
APP-019,ITC-026,uses
APP-019,ITC-018,uses
APP-019,ITC-039,uses
APP-020,ITC-017,uses
APP-020,ITC-029,uses
APP-020,ITC-012,uses
APP-020,ITC-005,uses
APP-021,ITC-035,uses
APP-021,ITC-017,uses
APP-022,ITC-029,uses
APP-022,ITC-002,uses
APP-022,ITC-019,uses
APP-022,ITC-037,uses
APP-023,ITC-034,uses
APP-023,ITC-031,uses
APP-023,ITC-026,uses
APP-024,ITC-023,uses
APP-024,ITC-004,uses
APP-025,ITC-015,uses
APP-025,ITC-033,uses
APP-026,ITC-038,uses
APP-026,ITC-030,uses
APP-026,ITC-019,uses
APP-026,ITC-029,uses
APP-027,ITC-034,uses
APP-027,ITC-002,uses
APP-027,ITC-021,uses
APP-028,ITC-026,uses
APP-028,ITC-039,uses
APP-028,ITC-036,uses
APP-028,ITC-038,uses
APP-028,ITC-003,uses
APP-029,ITC-031,uses
APP-029,ITC-035,uses
APP-029,ITC-012,uses
APP-030,ITC-018,uses
APP-030,ITC-020,uses
APP-030,ITC-037,uses
APP-030,ITC-011,uses
APP-030,ITC-031,uses
APP-031,ITC-026,uses
APP-031,ITC-035,uses
APP-031,ITC-030,uses
APP-031,ITC-038,uses
APP-032,ITC-028,uses
APP-032,ITC-003,uses
APP-032,ITC-010,uses
APP-032,ITC-022,uses
APP-032,ITC-007,uses
APP-033,ITC-022,uses
APP-033,ITC-007,uses
APP-033,ITC-036,uses
APP-033,ITC-016,uses
