source_id,target_id,relation_type
APP-001,PRV-008,depends_on
APP-003,PRV-008,depends_on
APP-003,PRV-012,depends_on
APP-004,PRV-007,depends_on
APP-006,PRV-010,depends_on
APP-006,PRV-022,depends_on
APP-007,PRV-016,depends_on
APP-007,PRV-022,depends_on
APP-008,PRV-022,depends_on
APP-010,PRV-021,depends_on
APP-011,PRV-022,depends_on
APP-012,PRV-001,depends_on
APP-014,PRV-011,depends_on
APP-014,PRV-025,depends_on
APP-016,PRV-023,depends_on
APP-018,PRV-005,depends_on
APP-018,PRV-003,depends_on
APP-019,PRV-017,depends_on
APP-019,PRV-007,depends_on
APP-020,PRV-007,depends_on
APP-021,PRV-018,depends_on
APP-021,PRV-012,depends_on
APP-022,PRV-006,depends_on
APP-027,PRV-018,depends_on
APP-027,PRV-012,depends_on
APP-029,PRV-016,depends_on
APP-029,PRV-011,depends_on
APP-031,PRV-010,depends_on
APP-031,PRV-004,depends_on
APP-032,PRV-010,depends_on
APP-032,PRV-013,depends_on
APP-034,PRV-009,depends_on
APP-035,PRV-014,depends_on
APP-036,PRV-010,depends_on
APP-037,PRV-008,depends_on
APP-037,PRV-024,depends_on
APP-039,PRV-010,depends_on
APP-040,PRV-014,depends_on
APP-040,PRV-017,depends_on
APP-042,PRV-011,depends_on
APP-043,PRV-023,depends_on
APP-044,PRV-013,depends_on
APP-044,PRV-012,depends_on
APP-045,PRV-021,depends_on
APP-047,PRV-024,depends_on
APP-048,PRV-004,depends_on
APP-049,PRV-011,depends_on
APP-050,PRV-012,depends_on
APP-050,PRV-002,depends_on
APP-052,PRV-014,depends_on
APP-054,PRV-021,depends_on
APP-054,PRV-004,depends_on
APP-057,PRV-007,depends_on
APP-057,PRV-016,depends_on
APP-058,PRV-025,depends_on
APP-059,PRV-015,depends_on
APP-059,PRV-011,depends_on
