seed,shock_scale,p_edge,steps,terminated,k_min,k_mean,k_max
10,0.05,0.01,81,STOP,0.0,0.059259259259259255,0.8
11,0.05,0.03,81,STOP,0.0,0.4296296296296296,1.0
12,0.05,0.07,81,STOP,0.0,0.4790123456790124,1.0
20,0.1,0.01,81,STOP,0.0,0.08395061728395063,1.0
21,0.1,0.03,81,STOP,0.0,0.45432098765432094,1.0
22,0.1,0.07,81,STOP,0.0,0.5358024691358024,1.0
30,0.2,0.01,81,STOP,0.0,0.08395061728395062,1.0
31,0.2,0.03,81,STOP,0.0,0.4493827160493827,1.0
32,0.2,0.07,81,STOP,0.0,0.4987654320987654,1.0
40,0.35,0.01,81,STOP,0.0,0.08395061728395062,1.0
41,0.35,0.03,81,STOP,0.0,0.4395061728395062,1.0
42,0.35,0.07,81,STOP,0.0,0.5382716049382716,1.0
