seed,shock_scale,p_edge,time_to_stop,terminated,k_mean_guarded,SUCCESS_frac,INERTIA_frac,COLLAPSE_frac,STOP_frac
20,0.05,0.01,80,STOP,0.08395061728395063,0.7407407407407407,0.24691358024691357,0.0,0.012345679012345678
21,0.05,0.03,80,STOP,0.45432098765432094,0.7407407407407407,0.24691358024691357,0.0,0.012345679012345678
22,0.05,0.07,80,STOP,0.5358024691358024,0.7407407407407407,0.24691358024691357,0.0,0.012345679012345678
30,0.1,0.01,80,STOP,0.08395061728395062,0.7407407407407407,0.24691358024691357,0.0,0.012345679012345678
31,0.1,0.03,80,STOP,0.4493827160493827,0.7407407407407407,0.24691358024691357,0.0,0.012345679012345678
32,0.1,0.07,80,STOP,0.4987654320987654,0.7407407407407407,0.24691358024691357,0.0,0.012345679012345678
40,0.2,0.01,80,STOP,0.08395061728395062,0.7407407407407407,0.24691358024691357,0.0,0.012345679012345678
41,0.2,0.03,80,STOP,0.4395061728395062,0.7407407407407407,0.24691358024691357,0.0,0.012345679012345678
42,0.2,0.07,80,STOP,0.5382716049382716,0.7407407407407407,0.24691358024691357,0.0,0.012345679012345678
50,0.35,0.01,110,STOP,0.05765765765765766,0.6306306306306306,0.18018018018018017,0.18018018018018017,0.009009009009009009
51,0.35,0.03,110,STOP,0.3783783783783784,0.6306306306306306,0.18018018018018017,0.18018018018018017,0.009009009009009009
52,0.35,0.07,80,STOP,0.5382716049382716,0.7407407407407407,0.24691358024691357,0.0,0.012345679012345678
