field,amplitude_label,terminated,time_to_stop,k_mean
law,0.0,STOP,80,0.4172839506172839
law,0.05,STOP,80,0.4296296296296296
law,0.1,STOP,140,0.424113475177305
law,0.2,STOP,80,0.5185185185185185
law,0.35,STOP,80,0.48888888888888893
regulation,0.0,STOP,140,0.424113475177305
regulation,0.05,STOP,80,0.4296296296296296
regulation,0.1,STOP,80,0.5185185185185185
regulation,0.2,STOP,80,0.45432098765432105
regulation,0.35,STOP,80,0.4444444444444444
market,0.0,STOP,80,0.5185185185185185
market,0.05,STOP,80,0.42716049382716054
market,0.1,STOP,80,0.45432098765432105
market,0.2,STOP,80,0.44691358024691363
market,0.35,STOP,80,0.44197530864197526
tech,0.0,STOP,80,0.45432098765432105
tech,0.05,STOP,80,0.48888888888888893
tech,0.1,STOP,80,0.44691358024691363
tech,0.2,STOP,80,0.4098765432098766
tech,0.35,STOP,80,0.44197530864197526
norms,0.0,STOP,80,0.44691358024691363
norms,0.05,STOP,80,0.4444444444444444
norms,0.1,STOP,80,0.4098765432098766
norms,0.2,STOP,80,0.3950617283950617
norms,0.35,STOP,140,0.4354609929078014
