field,amplitude,psi_mode,terminated,time_to_stop,k_mean
law,0.0,always,SUCCESS,220,0.46090909090909093
law,0.05,always,SUCCESS,220,0.4827272727272727
law,0.1,always,SUCCESS,220,0.5045454545454545
law,0.2,always,SUCCESS,220,0.49
law,0.35,always,SUCCESS,220,0.4809090909090909
regulation,0.0,always,SUCCESS,220,0.5045454545454545
regulation,0.05,always,SUCCESS,220,0.5190909090909092
regulation,0.1,always,SUCCESS,220,0.49
regulation,0.2,always,SUCCESS,220,0.5181818181818182
regulation,0.35,always,SUCCESS,220,0.4881818181818182
market,0.0,always,SUCCESS,220,0.49
market,0.05,always,SUCCESS,220,0.4981818181818182
market,0.1,always,SUCCESS,220,0.5181818181818182
market,0.2,always,SUCCESS,220,0.4963636363636364
market,0.35,always,SUCCESS,220,0.5036363636363637
tech,0.0,always,SUCCESS,220,0.5181818181818182
tech,0.05,always,SUCCESS,220,0.4809090909090909
tech,0.1,always,SUCCESS,220,0.4963636363636364
tech,0.2,always,SUCCESS,220,0.4809090909090909
tech,0.35,always,SUCCESS,220,0.48909090909090913
norms,0.0,always,SUCCESS,220,0.4963636363636364
norms,0.05,always,SUCCESS,220,0.4881818181818182
norms,0.1,always,SUCCESS,220,0.4809090909090909
norms,0.2,always,SUCCESS,220,0.46454545454545454
norms,0.35,always,SUCCESS,220,0.5118181818181818
