amplitude,psi_threshold,terminated,t_success_after_inertia,t_stop,k_mean
0.0,0.0,STOP,220,80,0.437037037037037
0.0,0.05,STOP,220,80,0.4592592592592593
0.0,0.1,STOP,220,80,0.42716049382716054
0.0,0.15,STOP,220,80,0.48395061728395067
0.0,0.2,STOP,220,80,0.41481481481481486
0.0,0.25,STOP,220,80,0.4493827160493827
0.0,0.3,STOP,220,80,0.43456790123456795
0.05,0.0,SUCCESS,80,220,0.5190909090909092
0.05,0.05,STOP,220,80,0.4098765432098766
0.05,0.1,STOP,220,80,0.4493827160493827
0.05,0.15,STOP,220,80,0.44691358024691363
0.05,0.2,STOP,220,80,0.46419753086419757
0.05,0.25,STOP,220,80,0.4567901234567901
0.05,0.3,STOP,220,80,0.5308641975308642
0.1,0.0,STOP,220,80,0.4592592592592593
0.1,0.05,STOP,80,140,0.44539007092198585
0.1,0.1,STOP,220,80,0.4518518518518519
0.1,0.15,STOP,220,80,0.4444444444444444
0.1,0.2,STOP,220,80,0.4172839506172839
0.1,0.25,STOP,220,80,0.4592592592592593
0.1,0.3,STOP,220,80,0.4691358024691358
0.2,0.0,STOP,220,80,0.45432098765432094
0.2,0.05,STOP,220,80,0.49629629629629635
0.2,0.1,STOP,220,80,0.4790123456790124
0.2,0.15,STOP,80,140,0.4340425531914894
0.2,0.2,STOP,220,80,0.45432098765432105
0.2,0.25,STOP,220,80,0.4395061728395062
0.2,0.3,STOP,220,80,0.42716049382716054
0.35,0.0,STOP,80,140,0.4524822695035461
0.35,0.05,STOP,80,140,0.41843971631205673
0.35,0.1,STOP,220,80,0.46419753086419757
0.35,0.15,STOP,220,80,0.47407407407407404
0.35,0.2,STOP,220,80,0.3925925925925926
0.35,0.25,STOP,220,80,0.4222222222222223
0.35,0.3,STOP,80,140,0.45815602836879427
