amplitude,psi_threshold,window,terminated,t_success_after_inertia,t_stop,k_mean
0.05,0.05,0,STOP,220,80,0.4024691358024692
0.05,0.05,1,STOP,220,80,0.46419753086419757
0.05,0.05,2,STOP,220,80,0.4246913580246913
0.05,0.05,5,STOP,220,80,0.47407407407407404
0.05,0.05,10,STOP,220,80,0.48148148148148145
0.05,0.1,0,STOP,220,80,0.47407407407407404
0.05,0.1,1,STOP,220,80,0.44197530864197526
0.05,0.1,2,STOP,220,80,0.42716049382716054
0.05,0.1,5,STOP,220,80,0.48148148148148145
0.05,0.1,10,STOP,220,80,0.4395061728395062
0.05,0.15,0,STOP,220,80,0.48148148148148145
0.05,0.15,1,STOP,220,80,0.4444444444444444
0.05,0.15,2,STOP,220,80,0.47407407407407404
0.05,0.15,5,STOP,220,80,0.4395061728395062
0.05,0.15,10,STOP,220,80,0.4246913580246913
0.05,0.2,0,STOP,220,80,0.4395061728395062
0.05,0.2,1,STOP,220,80,0.49382716049382713
0.05,0.2,2,STOP,220,80,0.4691358024691358
0.05,0.2,5,STOP,220,80,0.4246913580246913
0.05,0.2,10,STOP,220,80,0.4098765432098766
0.1,0.05,0,STOP,220,80,0.49629629629629635
0.1,0.05,1,STOP,220,80,0.47407407407407404
0.1,0.05,2,SUCCESS,80,220,0.4672727272727273
0.1,0.05,5,SUCCESS,80,220,0.4727272727272727
0.1,0.05,10,SUCCESS,80,220,0.4854545454545454
0.1,0.1,0,STOP,220,80,0.4790123456790124
0.1,0.1,1,STOP,220,80,0.44691358024691363
0.1,0.1,2,STOP,220,80,0.46419753086419757
0.1,0.1,5,STOP,220,80,0.43209876543209874
0.1,0.1,10,STOP,220,80,0.45432098765432105
0.1,0.15,0,STOP,220,80,0.43209876543209874
0.1,0.15,1,STOP,220,80,0.5012345679012346
0.1,0.15,2,STOP,220,80,0.46172839506172836
0.1,0.15,5,STOP,220,80,0.45432098765432105
0.1,0.15,10,STOP,220,80,0.4395061728395062
0.1,0.2,0,STOP,220,80,0.45432098765432105
0.1,0.2,1,STOP,220,80,0.46172839506172836
0.1,0.2,2,STOP,220,80,0.4444444444444444
0.1,0.2,5,STOP,220,80,0.4395061728395062
0.1,0.2,10,STOP,220,80,0.42716049382716054
0.2,0.05,0,STOP,220,80,0.4592592592592593
0.2,0.05,1,STOP,220,80,0.48888888888888893
0.2,0.05,2,SUCCESS,80,220,0.47454545454545455
0.2,0.05,5,SUCCESS,80,220,0.4763636363636364
0.2,0.05,10,SUCCESS,80,220,0.48454545454545456
0.2,0.1,0,STOP,80,140,0.38865248226950355
0.2,0.1,1,STOP,80,140,0.4269503546099291
0.2,0.1,2,SUCCESS,80,220,0.45
0.2,0.1,5,SUCCESS,80,220,0.48454545454545456
0.2,0.1,10,SUCCESS,80,220,0.47090909090909094
0.2,0.15,0,SUCCESS,80,220,0.48454545454545456
0.2,0.15,1,STOP,220,80,0.4098765432098766
0.2,0.15,2,STOP,80,140,0.41276595744680855
0.2,0.15,5,SUCCESS,80,220,0.47090909090909094
0.2,0.15,10,SUCCESS,80,220,0.5281818181818182
0.2,0.2,0,STOP,220,80,0.46172839506172836
0.2,0.2,1,STOP,220,80,0.5012345679012346
0.2,0.2,2,STOP,220,80,0.44197530864197526
0.2,0.2,5,STOP,220,80,0.48888888888888893
0.2,0.2,10,STOP,220,80,0.4419753086419754
0.35,0.05,0,SUCCESS,80,220,0.5154545454545455
0.35,0.05,1,STOP,220,80,0.48148148148148145
0.35,0.05,2,STOP,80,140,0.4354609929078014
0.35,0.05,5,SUCCESS,80,220,0.500909090909091
0.35,0.05,10,SUCCESS,80,220,0.5163636363636364
0.35,0.1,0,STOP,220,80,0.437037037037037
0.35,0.1,1,SUCCESS,80,220,0.53
0.35,0.1,2,SUCCESS,80,220,0.4681818181818182
0.35,0.1,5,SUCCESS,80,220,0.5163636363636364
0.35,0.1,10,SUCCESS,80,220,0.4827272727272727
0.35,0.15,0,SUCCESS,80,220,0.5163636363636364
0.35,0.15,1,STOP,80,140,0.4156028368794326
0.35,0.15,2,STOP,220,80,0.4518518518518519
0.35,0.15,5,SUCCESS,80,220,0.4827272727272727
0.35,0.15,10,SUCCESS,80,220,0.4918181818181818
0.35,0.2,0,STOP,220,80,0.417283950617284
0.35,0.2,1,STOP,80,140,0.43829787234042555
0.35,0.2,2,STOP,220,80,0.44197530864197526
0.35,0.2,5,SUCCESS,80,220,0.4918181818181818
0.35,0.2,10,SUCCESS,80,220,0.4827272727272727
