window,amplitude,psi_threshold,replicates,success_rate,stop_rate,t_success_mean,t_success_median,k_mean_mean
0,0.05,0.05,25,0.0,1.0,220.0,220.0,0.44009876543209875
0,0.05,0.1,25,0.0,1.0,220.0,220.0,0.4495802469135803
0,0.05,0.15,25,0.0,1.0,220.0,220.0,0.4490864197530864
0,0.05,0.2,25,0.0,1.0,220.0,220.0,0.4501728395061728
0,0.1,0.05,25,0.12,0.88,180.8,220.0,0.44995687370155457
0,0.1,0.1,25,0.0,1.0,220.0,220.0,0.442962962962963
0,0.1,0.15,25,0.0,1.0,220.0,220.0,0.4390123456790123
0,0.1,0.2,25,0.0,1.0,220.0,220.0,0.4361481481481481
0,0.2,0.05,25,0.12,0.88,180.8,220.0,0.4479860543974019
0,0.2,0.1,25,0.04,0.96,186.4,220.0,0.4440187310456814
0,0.2,0.15,25,0.0,1.0,214.4,220.0,0.4397667454688731
0,0.2,0.2,25,0.0,1.0,220.0,220.0,0.44355555555555554
0,0.35,0.05,25,0.12,0.88,136.0,80.0,0.44048729374119444
0,0.35,0.1,25,0.16,0.84,169.6,220.0,0.44441407932755456
0,0.35,0.15,25,0.0,1.0,186.4,220.0,0.4350680325715787
0,0.35,0.2,25,0.08,0.92,169.6,220.0,0.4463983570933926
1,0.05,0.05,25,0.0,1.0,220.0,220.0,0.4402962962962963
1,0.05,0.1,25,0.0,1.0,220.0,220.0,0.43190123456790125
1,0.05,0.15,25,0.0,1.0,220.0,220.0,0.44523456790123456
1,0.05,0.2,25,0.0,1.0,220.0,220.0,0.45076543209876546
1,0.1,0.05,25,0.24,0.76,158.4,220.0,0.4511937435823961
1,0.1,0.1,25,0.0,1.0,220.0,220.0,0.44464197530864197
1,0.1,0.15,25,0.0,1.0,220.0,220.0,0.4396049382716049
1,0.1,0.2,25,0.0,1.0,220.0,220.0,0.44355555555555554
1,0.2,0.05,25,0.52,0.48,108.0,80.0,0.46571152661365434
1,0.2,0.1,25,0.4,0.6,108.0,80.0,0.4552314922272369
1,0.2,0.15,25,0.08,0.92,164.0,220.0,0.4469727726436946
1,0.2,0.2,25,0.0,1.0,220.0,220.0,0.4510617283950617
1,0.35,0.05,25,0.6,0.4,102.4,80.0,0.4728182821118992
1,0.35,0.1,25,0.36,0.64,130.4,80.0,0.4544968741791437
1,0.35,0.15,25,0.56,0.44,130.4,80.0,0.4647214556916685
1,0.35,0.2,25,0.2,0.8,158.4,220.0,0.44244128280440337
2,0.05,0.05,25,0.0,1.0,220.0,220.0,0.44464197530864197
2,0.05,0.1,25,0.0,1.0,220.0,220.0,0.4434567901234568
2,0.05,0.15,25,0.0,1.0,220.0,220.0,0.43486419753086425
2,0.05,0.2,25,0.0,1.0,220.0,220.0,0.4449382716049383
2,0.1,0.05,25,0.56,0.44,130.4,80.0,0.47174637151658433
2,0.1,0.1,25,0.0,1.0,220.0,220.0,0.44799999999999995
2,0.1,0.15,25,0.0,1.0,220.0,220.0,0.45214814814814813
2,0.1,0.2,25,0.0,1.0,220.0,220.0,0.4510617283950617
2,0.2,0.05,25,0.88,0.12,85.6,80.0,0.47849591900088356
2,0.2,0.1,25,0.52,0.48,124.8,80.0,0.4643108245576331
2,0.2,0.15,25,0.24,0.76,158.4,220.0,0.4489610239510949
2,0.2,0.2,25,0.0,1.0,220.0,220.0,0.4494814814814815
2,0.35,0.05,25,0.88,0.12,91.2,80.0,0.48201172958903454
2,0.35,0.1,25,0.76,0.24,96.8,80.0,0.47665313179072044
2,0.35,0.15,25,0.68,0.32,113.6,80.0,0.4718617092914965
2,0.35,0.2,25,0.48,0.52,119.2,80.0,0.4629382525013731
5,0.05,0.05,25,0.0,1.0,220.0,220.0,0.43822222222222224
5,0.05,0.1,25,0.0,1.0,220.0,220.0,0.45086419753086415
5,0.05,0.15,25,0.0,1.0,220.0,220.0,0.44612345679012344
5,0.05,0.2,25,0.0,1.0,220.0,220.0,0.4454320987654321
5,0.1,0.05,25,0.92,0.08,91.2,80.0,0.49422042648709313
5,0.1,0.1,25,0.0,1.0,220.0,220.0,0.4354567901234568
5,0.1,0.15,25,0.0,1.0,220.0,220.0,0.4333827160493827
5,0.1,0.2,25,0.0,1.0,220.0,220.0,0.44009876543209875
5,0.2,0.05,25,0.96,0.04,85.6,80.0,0.4871762065095399
5,0.2,0.1,25,0.88,0.12,85.6,80.0,0.47562592353798033
5,0.2,0.15,25,0.8,0.2,102.4,80.0,0.4748011939728252
5,0.2,0.2,25,0.0,1.0,220.0,220.0,0.4346666666666667
5,0.35,0.05,25,1.0,0.0,80.0,80.0,0.488
5,0.35,0.1,25,1.0,0.0,80.0,80.0,0.4899636363636364
5,0.35,0.15,25,1.0,0.0,80.0,80.0,0.4807272727272728
5,0.35,0.2,25,0.96,0.04,85.6,80.0,0.48672817059483725
10,0.05,0.05,25,0.0,1.0,220.0,220.0,0.4431604938271605
10,0.05,0.1,25,0.0,1.0,220.0,220.0,0.4387160493827161
10,0.05,0.15,25,0.0,1.0,220.0,220.0,0.4408888888888889
10,0.05,0.2,25,0.0,1.0,220.0,220.0,0.4449382716049383
10,0.1,0.05,25,1.0,0.0,80.0,80.0,0.4913818181818182
10,0.1,0.1,25,0.0,1.0,220.0,220.0,0.4438518518518519
10,0.1,0.15,25,0.0,1.0,220.0,220.0,0.44711111111111107
10,0.1,0.2,25,0.0,1.0,220.0,220.0,0.43683950617283956
10,0.2,0.05,25,1.0,0.0,80.0,80.0,0.49578181818181816
10,0.2,0.1,25,1.0,0.0,80.0,80.0,0.48560000000000003
10,0.2,0.15,25,0.84,0.16,91.2,80.0,0.48343683644960245
10,0.2,0.2,25,0.0,1.0,220.0,220.0,0.4490864197530864
10,0.35,0.05,25,1.0,0.0,80.0,80.0,0.48163636363636364
10,0.35,0.1,25,1.0,0.0,80.0,80.0,0.4849090909090909
10,0.35,0.15,25,1.0,0.0,80.0,80.0,0.48865454545454545
10,0.35,0.2,25,0.96,0.04,80.0,80.0,0.4885849129593811
